locid,Longitude,Latitude
830,130.90832,30.40703
831,130.53754,30.41937
832,130.59139,30.28056
833,129.35835,28.34606
834,129.29944,28.27694
835,129.7349,31.44574
836,130.2096,32.02112
837,130.33326,32.08502
838,130.60247,32.05526
839,131.0109,30.72226
840,130.72133,31.49137
841,130.31435,31.82416
842,130.98802,31.63693
843,131.06763,31.49334
844,130.28229,30.78397
845,129.71505,29.66123
846,130.47726,31.25947
847,129.30385,28.14672
848,129.58878,28.41127
849,129.96013,28.31933
850,129.00882,27.74983
851,128.90358,27.81081
852,128.94202,27.68655
853,128.6508,27.39534
854,128.57723,27.3498
855,136.91897,37.05812
856,136.45572,36.38661
857,136.89909,37.35114
858,137.26571,37.44145
859,139.10116,36.07019
860,139.11716,36.10807
861,138.98855,36.00751
862,139.19589,36.05022
863,139.18095,36.17824
864,139.20828,36.11508
865,139.66878,36.18525
866,136.74375,36.66874
867,136.77156,37.05719
868,136.77322,36.84205
869,136.88679,36.9731
870,136.93838,37.22988
871,137.14798,37.333
872,139.25456,35.74063
873,139.12539,35.72382
874,139.7545,36.54074
875,139.67873,36.75346
876,140.04931,36.84864
877,139.93581,36.79536
878,139.98764,36.9226
879,140.1293,36.67128
880,139.73425,36.45913
881,139.97284,36.37642
882,139.1132,35.80596
883,139.38303,34.73853
884,139.28125,34.52083
885,139.24809,34.35871
886,139.14316,34.20277
887,139.51833,34.08605
888,139.60736,33.87278
889,139.80094,33.10202
890,139.76875,32.4625
891,142.16214,26.64892
892,139.08305,35.36289
893,139.05074,35.23864
894,139.27532,35.48362
895,139.29609,35.95854
896,139.36143,36.05069
897,139.26585,36.05584
898,139.47887,35.97605
899,139.45309,36.04095
900,139.27755,35.99971
901,139.10935,35.98214
902,139.86407,34.98454
903,140.29657,35.15566
904,140.09209,35.11469
905,139.93992,35.31566
906,139.87081,35.26526
907,136.35922,36.31542
908,136.79662,36.9019
909,136.74331,36.73725
910,136.5429,36.46724
911,140.20779,35.8167
912,140.411,35.88719
913,140.47219,35.74769
914,140.67693,35.81717
915,140.41247,35.71204
916,140.48939,35.66188
917,140.37277,35.36677
918,140.32146,35.36139
919,140.3559,35.40285
920,140.3866,35.4447
921,140.21956,35.44429
922,140.23682,35.2688
923,140.35859,35.18627
924,139.8472,35.11983
925,140.55801,35.95032
926,140.39261,36.56625
927,140.48164,36.44258
928,139.89686,36.06125
929,140.38571,35.93913
930,140.25327,36.12947
931,140.09593,36.32987
932,140.4628,36.07836
933,140.52765,36.19153
934,140.03395,35.97323
935,140.35717,36.2091
936,140.43667,36.28435
937,140.35492,36.48297
938,140.35882,36.77859
939,140.28179,35.8786
940,139.89404,36.17566
941,140.16023,35.86296
942,140.09962,36.46572
943,140.1906,36.53108
944,140.09144,36.53924
945,140.03634,36.55232
946,139.66254,36.2665
947,139.66799,36.31521
948,139.74474,36.42017
949,139.84594,36.76123
950,140.00989,36.62886
951,140.09052,37.02374
952,140.14758,36.75378
953,139.06087,36.65257
954,139.07035,36.25559
955,138.86065,36.32339
956,139.08902,36.4535
957,138.97852,36.43195
958,138.99166,36.25522
959,138.76637,36.07983
960,138.8635,36.10088
961,138.76847,36.21643
962,138.71378,36.16426
963,138.92738,36.23485
964,139.14326,35.34891
965,139.07683,36.61999
966,138.98485,36.71906
967,139.6189,36.22467
968,139.07981,36.00169
969,139.92761,35.02174
970,140.55834,35.70095
971,140.52325,35.88759
972,140.43949,35.60793
973,140.36364,35.27534
974,140.21864,35.76346
975,140.52613,36.5333
976,140.70531,36.71715
977,140.74559,36.806
978,136.27143,34.17273
979,136.03811,33.81982
980,135.9966,33.7563
981,136.174,34.93818
982,136.01691,35.36358
983,136.32639,35.33214
984,136.14316,35.1359
985,136.24618,35.01443
986,138.83812,36.60039
987,138.62864,36.52316
988,138.52545,36.5115
989,138.59984,36.61754
990,138.63851,36.61999
991,138.95111,36.61933
992,138.82694,36.54509
993,139.23502,36.77687
994,139.10328,36.68625
995,140.64864,38.09044
996,140.41916,37.99884
997,140.73111,38.11222
998,140.63843,38.18405
999,140.77138,37.89945
1000,140.87469,38.03878
1001,140.89188,37.94908
1002,141.0744,38.38727
1003,140.88915,38.4292
1004,141.00865,38.43053
1005,140.88756,38.46644
1006,140.84102,38.54028
1007,140.72243,38.58156
1008,141.14368,38.54595
1009,141.07204,38.53416
1010,141.4581,38.43612
1011,141.51596,38.79109
1012,141.47412,38.69369
1013,136.20094,34.05113
1014,136.45813,34.86836
1015,136.86205,34.46313
1016,136.07512,33.8951
1017,136.50176,35.16094
1018,136.82516,34.33399
1019,136.16009,34.77071
1020,136.73916,35.06922
1021,136.51334,35.0272
1022,136.54633,34.48933
1023,136.63105,34.5446
1024,136.3881,34.38437
1025,136.63181,34.48616
1026,136.60665,34.41822
1027,136.42676,34.32855
1028,136.614,34.31035
1029,136.11985,35.0589
1030,136.29898,35.21484
1031,136.23877,35.44124
1032,136.23594,35.4678
1033,141.57037,38.9016
1034,140.62586,37.9973
1035,140.78769,37.97957
1036,141.20422,38.67821
1037,141.0339,38.74993
1038,128.21288,26.75338
1039,128.12932,26.6832
1040,128.15444,26.62778
1041,127.97477,26.47833
1042,122.98894,24.45719
1043,139.90764,36.68261
1044,138.89604,36.38119
1045,139.15325,35.60761
1046,135.81628,34.76739
1047,135.87248,34.7444
1048,130.65776,33.25136
1049,130.5239,33.1193
1050,130.46268,33.09895
1051,129.93444,33.03442
1052,129.8613,33.06707
1053,129.90093,33.13106
1054,129.06083,33.19319
1055,129.64672,33.2967
1056,129.60487,33.28259
1057,129.65857,33.23701
1058,129.0832,32.98655
1059,124.1683,24.34541
1060,130.21176,33.54812
1061,130.65044,33.72315
1062,130.70087,33.38955
1063,130.42804,33.50141
1064,127.36137,26.18857
1065,127.29713,26.21168
1066,127.2329,26.57924
1067,127.14375,26.36846
1068,131.23326,25.83483
1069,131.29566,25.94649
1070,127.96709,27.03379
1071,127.94207,26.92631
1072,126.76691,26.34129
1073,124.69847,24.66762
1074,123.82965,24.31799
1075,130.6824,33.19946
1076,130.59114,33.17462
1077,130.55391,33.24106
1078,130.82413,33.1514
1079,130.75465,33.24632
1080,130.84949,33.66364
1081,130.85947,33.55779
1082,130.81908,33.59423
1083,130.8518,33.60803
1084,130.87891,33.61222
1085,130.94511,33.6685
1086,131.17298,33.55762
1087,131.03922,33.65328
1088,130.11635,33.27702
1089,129.87949,33.28211
1090,130.04308,33.20477
1091,130.10424,33.09398
1092,130.20778,33.25596
1093,130.05457,33.11728
1094,130.37839,33.28283
1095,130.3241,33.19235
1096,130.29036,33.19842
1097,130.23958,33.23209
1098,129.86249,33.48063
1099,130.15599,33.21681
1100,130.14179,33.16689
1101,130.18765,32.99623
1102,129.5126,33.33817
1103,129.6947,33.34426
1104,129.3625,34.50097
1105,129.72098,33.78372
1106,128.80147,32.67981
1107,129.69221,33.01324
1108,130.23398,32.80532
1109,130.2799,32.66991
1110,132.51494,34.50333
1111,132.91657,34.34272
1112,133.04117,34.41207
1113,133.23654,34.56634
1114,132.86431,34.79232
1115,133.04503,34.90007
1116,132.22401,34.22252
1117,132.73964,34.43364
1118,132.28792,34.35294
1119,132.67222,34.69329
1120,132.4468,34.21488
1121,134.22149,34.26826
1122,134.32375,34.21755
1123,133.70499,34.17516
1124,134.18877,34.49407
1125,134.29257,34.48261
1126,134.13686,34.2611
1127,133.98649,34.46001
1128,133.95137,34.23593
1129,133.8666,34.17403
1130,134.86347,34.3436
1131,134.46921,34.80979
1132,134.81143,35.51433
1133,134.39293,34.75708
1134,134.97381,35.00346
1135,135.20859,34.90552
1136,134.85525,34.91653
1137,135.21967,35.06673
1138,134.68293,35.34685
1139,135.07443,35.18418
1140,134.76177,34.29672
1141,131.12425,33.60338
1142,135.70134,34.3502
1143,135.96771,34.53706
1144,136.03286,34.6655
1145,136.12798,34.51054
1146,136.17142,34.48925
1147,135.7858,34.44479
1148,130.50465,33.65019
1149,130.6221,33.84739
1150,130.59907,33.44956
1151,130.8533,33.42457
1152,130.14194,33.51306
1153,130.16515,33.58172
1154,136.23202,35.50618
1155,136.20642,35.55029
